Code;URL
AB;marriott-aruba-ocean-club
AC;marriott-aruba-surf-club
BB;marriott-barony-beach-club
BP;marriott-beachplace-towers
CV;marriott-canyon-villas
MC;marriott-club-son-antem
ML;marriott-crystal-shores
CH;marriott-custom-house
CY;marriott-cypress-harbour
DE;marriott-desert-springs
DE;marriott-desert-springs-villas
DS;marriott-desert-springs-villas-ii
BK;marriott-empire-place-resort
FW;marriott-fairway-villas
UV;marriott-frenchman-cove
UV;marriott-frenchmans-cove
VG;marriott-grand-chateau
GR;marriott-grande-ocean
GV;marriott-grande-vista
HA;marriott-harbour-club
HO;marriott-harbour-lake
HP;marriott-harbour-point
HE;marriott-heritage-club
IM;marriott-imperial-palms
KA;marriott-kauai-beach-club
KN;marriott-kauai-lagoons
KO;marriott-ko-olina-beach
KO;marriott-ko-olina-beach-club
LR;marriott-lakeshore-reserve
LE;marriott-legends-edge
PA;marriott-mai-khao-beach
MA;marriott-manor-club
MB;marriott-marbella-beach-club
MH;marriott-maui-ocean-club
MO;marriott-monarch
MS;marriott-mountainside
MV;marriott-mountain-valley-lodge
NC;marriott-newport-coast
NC;marriott-newport-coast-villas
SN;marriott-oceana-palms
PS;marriott-ocean-pointe
OW;marriott-oceanwatch
OW;marriott-oceanwatch-villas
PB;marriott-phuket-beach-club
PY;marriott-playa-andaluza
RO;marriott-royal-palms
SA;marriott-sabal-palms
SR;marriott-shadow-ridge
KT;marriott-stkitts-beach-club
KT;marriott-st-kitts-beach-club
BI;marriott-streamside
SM;marriott-summit-watch
SU;marriott-sunset-pointe
SF;marriott-surf-watch
TL;marriott-timber-lodge
DP;marriott-village-dile-de-france
DA;marriott-villas-at-doral
WI;marriott-waiohai-beach-club
HB;marriott-willow-ridge-lodge
