code;pk;name;Activity_Number;Activity_Title;Activity_Description;Activity_Details;$/€ 
PY;8796163276801;Marriott's Playa Andaluza;Activity 1;Paella & Sangria Demonstration;Spanish traditional paella and sangria cooking class;Family activity. Complimentary taste tapa. Optional full portion paella ;€
PY;8796163276801;Marriott's Playa Andaluza;Activity 2;Falconry Exhibition;Birds of prey exhibition;Family activity. ;
PY;8796163276801;Marriott's Playa Andaluza;Activity 3;Cocktail Class;Make your own cocktail.;Ages 18+;€
PY;8796163276801;Marriott's Playa Andaluza;Activity 4;Spanish Lessons;Basic Spanish class;Family Activity;
PY;8796163276801;Marriott's Playa Andaluza;Activity 5;freshAIR fitness;Cardio and strength training in a fun outdoor environment.;Ages 13+;
PY;8796163276801;Marriott's Playa Andaluza;Activity 6;aquaFIT;Great workout for all fitness levels. So much fun you don't feel you're working out.;Ages 13+;
PY;8796163276801;Marriott's Playa Andaluza;Activity 7;discoveryWALK;Discover the local area.;Ages 13+;
PY;8796163276801;Marriott's Playa Andaluza;Activity 8;gymINTO;Meet our fitness staff in the gym and familiarize yourself with our equi p.m.ent.;Ages 16+;
PY;8796163276801;Marriott's Playa Andaluza;Activity 9;expressABS;Crash core course;Ages 16+;
PY;8796163276801;Marriott's Playa Andaluza;Activity 10;reNEW: Stretching & Relax;Start the day by loosening up your body and improving your flexibility.;Ages 16+;
PY;8796163276801;Marriott's Playa Andaluza;Activity 11;In-Trinity;It's not Pilates, not Yoga, not Tai-Chi. It's a blend of everything. Work on your flexibility, agility, strength and balance.;Ages 16+ /reservation is required;
PY;8796163276801;Marriott's Playa Andaluza;Activity 12;Dance Fitness;Come and learn easy dance routines with us! A class full of fun and rhythm.;Ages 13+ ;
PY;8796163276801;Marriott's Playa Andaluza;Activity 13;Playa Indoor Cycling;Fun cardio workout;Ages 16+ /reservation is required;
PY;8796163276801;Marriott's Playa Andaluza;Activity 14;Move & Tone;A full cardio and strength body workout for your muscles;Ages 16+;
PY;8796163276801;Marriott's Playa Andaluza;Activity 15;reNEW: Pilates;Work on your posture and strength.;Ages 16+;
PY;8796163276801;Marriott's Playa Andaluza;Activity 16;Ballet Barre Workout;Ballet inspired fitness class. Work on your core, flexibility, stabilize your spine and improve your posture.;Ages 16+;
PY;8796163276801;Marriott's Playa Andaluza;Activity 17;Training in Suspension (TRX);Get a total body workout. Work on your strength, balance, flexibility and core stability.;Ages 16+;
PY;8796163276801;Marriott's Playa Andaluza;Activity 18;Football;Team sports game;Ages 13+;
PY;8796163276801;Marriott's Playa Andaluza;Activity 19;Basketball;Team sports game;Ages 13+;
PY;8796163276801;Marriott's Playa Andaluza;Activity 20;Volleyball;Team sports game;Ages 13+;
PY;8796163276801;Marriott's Playa Andaluza;Activity 21;Ping Pong;Competition game;Ages 13+;
PY;8796163276801;Marriott's Playa Andaluza;Activity 22;Darts Tournament;Show us your aiming.;Ages 13+;
PY;8796163276801;Marriott's Playa Andaluza;Activity 23;Bocce Ball (Petanca);Spanish traditional game;Ages 13+;
PY;8796163276801;Marriott's Playa Andaluza;Activity 24;Bingo;Come and play with us.;Family activity;
PY;8796163276801;Marriott's Playa Andaluza;Activity 25;Play Station FIFA Competition;Virtual football game.;Ages 13+;
PY;8796163276801;Marriott's Playa Andaluza;Activity 26;Football - Tennis;A mixture of two-in-one sports game.;Ages 13+;
PY;8796163276801;Marriott's Playa Andaluza;Activity 27;Spanish Cultural Quiz;Learn about our traditions, culture and habits.;Family Activity;
PY;8796163276801;Marriott's Playa Andaluza;Activity 28;Art Corner: Decoupage;Take a piece of your vacation back home. Do your own decoupage box or bottle. ;Family Handcraft activity ;€
PY;8796163276801;Marriott's Playa Andaluza;Activity 29;Hockey;Team sports game;Kids Club / supervised activity/ 8-12 years;
PY;8796163276801;Marriott's Playa Andaluza;Activity 30;Movie & Popcorn;Let's all watch a movie together.;Kids Club / supervised activity/ 8-12 years;
PY;8796163276801;Marriott's Playa Andaluza;Activity 31;Cap Painting;Create your own unique cap.;Kids Club / supervised activity/ 8-12 years;€
PY;8796163276801;Marriott's Playa Andaluza;Activity 32;Bag Pack Painting;Create your own unique bag pack.;Kids Club / supervised activity/ 8-12 years;€
PY;8796163276801;Marriott's Playa Andaluza;Activity 33;Kid's Kitchen;Cooking activity;Kids Club / supervised activity/ 8-12 years;
PY;8796163276801;Marriott's Playa Andaluza;Activity 34;Soap Making;Make your own soap.;Kids Club / supervised activity/ 8-12 years;
PY;8796163276801;Marriott's Playa Andaluza;Activity 35;Sports Day;A day full of action! Football, dodgeball, hockey, relay games and much more!;Kids Club / supervised activity/ 8-12 years;
PY;8796163276801;Marriott's Playa Andaluza;Activity 36;Eco - Handcrafts;Recycling creativity;Kids Club / supervised activity/ 8-12 years;
PY;8796163276801;Marriott's Playa Andaluza;Activity 37;Treasure Hunt;Follow the clues and find our treasure!;Kids Club / supervised activity/ 8-12 years;
PY;8796163276801;Marriott's Playa Andaluza;Activity 38;Handcrafts;Salt painting, painting workshop, clay workshop, necklaces and bracelets workshop, rock painting ;Kids Club / supervised activity/ 8-12 years;
PY;8796163276801;Marriott's Playa Andaluza;Activity 39;Face Painting;A tiger, a princess, a super hero … who do you want to be?;Kids Club / supervised activity/ 8-12 years;
PY;8796163276801;Marriott's Playa Andaluza;Activity 40;Musical Games;Shake your body. Let's dance!;Kids Club / supervised activity/ 8-12 years;
PY;8796163276801;Marriott's Playa Andaluza;Activity 41;Bingo;Social game;Family activity;
PY;8796163276801;Marriott's Playa Andaluza;Activity 42;Orientation Game;Find the clues with our Resort map.;Kids Club / supervised activity/ 8-12 years;
PY;8796163276801;Marriott's Playa Andaluza;Activity 43;Slime Workshop;Make your own slimy slime.;Kids Club / supervised activity/ 8-12 years;
PY;8796163276801;Marriott's Playa Andaluza;Activity 44;Science Experiments;Crazy science workshop;Kids Club / supervised activity/ 8-12 years;
PY;8796163276801;Marriott's Playa Andaluza;Activity 45;Art Corner: Coffee Capsules;Recycling fun! Make your own necklaces or earrings with coffee capsules.;Family Handcraft activity /;€
UV;8796163276801;Marriott's Frenchman's Cove;Activity 1;Water Balloon Toss;When your balloon pops, you're out.;All Ages;
