# catalogVersion;syncItemKey;pk;airportName;airportPhoneNumber;drivingDirection;hotelDirection;mvwcTransportInfo;shuttleServiceFlag;transportHelpInfo
Output Catalog:Online;PA-resortMapOption-BKK-001;8797312630402;Suvarnabhumi International Airport - BKK;+66 2 132 1888;"Take the Rama 9 Expressway and turn left onto Din Daeng/Dao Kanong Route. Continue to Rama III (Chongnonsee &mdash; Nanglinchee) and merge onto Naradhiwas Rajanagarindra Road. Continue to Soi 6. Marriott Vacation Club at The Empire Place<sup>&copy;</sup> is on the left between Soi 6 and 4.";;8797312597634;true;"<ul>
<li>Alternate transportation: Member Services can arrange transportation for a fee.</li>

<br/>

<li>Estimated taxi fare: $15 - $25 USD (one way).</li>
</ul>"
Output Catalog:Online;au-resortMapsTransportation-Directions-OOL-001;8796849454722;Gold Coast Airport - OOL;+61 75 589 1100;Depart Eastern Ave. At the roundabout, take the 2nd exit onto Terminal Dr. Bear left onto 2 / Gold Coast Hwy. Arrive at 2 / Ferny Ave / Gold Coast Hwy on the left.;14.2 miles NW;8796849421954;;"<ul>
<li>Alternate transportation: Hughes Limousines - Valid for 4 persons. Additional person is extra, fee: 77 AUD (one way); reservation required </li>
<li>Bus service, fee: 19 AUD (one way) </li>
<li>Estimated taxi fare: 65 AUD (one way) </li> 
</ul>"
Output Catalog:Online;airport_17_for_MapAndTransportation_00001;8796494216834;Orlando International Airport - MCO;407-825-2001;Follow signs to North exit. Take 528 W (toll road) to exit #1 (Int'l Dr/Sea World exit). Turn left on Int'l Dr. At traffic light, make a right on Westwood Blvd. Marriott's Harbour Lake is located approx 1 1/2 miles on right.;12.7 mi W;8796494184066;false;"<ul><li>Alternate Transportation: Hema Transportation; reservation required</li><li>Estimated taxi fare: $55 USD (one way)</li></ul>"
Output Catalog:Online;airport_8_for_MapAndTransportation_00002;8796483239554;Fort Lauderdale-Hollywood International Airport - FLL;954-359-1200;Follow signs to 1-595 West. merge onto 1-595 West and go approx. 13 miles. Merge onto 1-75 (Portions toll). Travel 84 miles to Exit 101 (CR 951 S/Collier Blvd). Merge onto CR-951 S towards Marco Island. Resort will be approx. 18 miles on the right.;117 miles W;8796483174018;false;
Output Catalog:Online;airport_8_for_MapAndTransportation_00003;8796483272322;Miami International Airport - MIA;305-876-7000;Merge onto FL-836 W (Portions toll). Take the NW 107th Ave exit towards Florida's Turnpike South toward Homestead/Key West. After approx 2 miles, merge onto Tamiami Trl E/US-41 W/FL-90 W. Travel 80 miles then turn left onto CR-92. Go 11.5 miles and turn left onto S Collier Blvd/FL-951 S. The resort will be approx 1 mile on the right.;103 miles(s)NW;8796483174018;false;
Output Catalog:Online;airport_4_for_MapAndTransportation_00001;8796481371778;Hilton Head Island Airport - HHH;843-255-2950;"From airport turn left onto Beach City Rd. At
intersection to William Hilton Parkway/Hwy 278, turn
left on 278. Continue on William Hilton Pkwy making a
left into Port Royal Plantation via Coggins Point Road.
Make a left onto Grasslawn Avenue and continue until
the stop sign. The resort gatehouse will be located to
the right. If arrive after hours, press call button on the
keypad to reach a resort associate to raise the
entrance gate. For GPS or Internet Mapping Systems,
use destination address as follows: 10 Fifth Street,Hilton Head, SC 29928 as the resort address.";4.0 mi S;8796481339010;false;<ul><li>Estimated taxi fare: 15.00 USD (one way)</li></ul>
Output Catalog:Online;airport_11_for_MapAndTransportation_00002;8796474850946;Ontario International Airport - ONT;909-544-5300;Exit E. Airport Drive to S. Archibald Ave. to I-10 East. Take I-10 for 78 miles to Cook St. exit. Exit Cook Street go right and proceed 2 1/2 miles to the Villas entrance. The entrance is on Cook Street, on the right side of the street 1/2 mile past Country Club Drive. Turn right on Riviera Drive.;85 miles E;8796474785410;false;
Output Catalog:Online;airport_25_for_MapAndTransportation_00001;8796439592578;Malaga International Airport - AGP;+34 95 204 8844;"Exiting the airport. At roundabout take second exit and continue until you connect with MA-21/N-340 road with signage towards Torremolinos/Cadiz/Algeciras. This exit comes up on your right hand side after passing the San Miguel factory on your right hand side. Continue along the N-340 road for about 1 kilometer and take Exit 1 towards Benalm&#225;dena/Algeciras (N- 340/A-7/AP-7). Proceed along the A-7 and AP-7 (Toll road). DO NOT take the toll road AP-7. Proceed on the A-7 following the exit signs for Exit 214 Fuengirola/Algeciras/Marbella for about 15 km. You will be driving along the coast line passing Fuengirola, El Faro, La Cala de Mijas, Riviera, Calahonda, Cabopino and Las Chapas. Once you pass Las Chapas area, the Resort exit is getting near. The Resort is located in the area called Elviria. After Repsol Gas Station on your left take Elviria exit and from the roundabout cross over the bridge towards sea side. At next roundabout continue straight forward. At next roundabout take third exit.<br>
Continue straight until you see Don Carlos Hotel you see Don Carlos Hotel entrance in front. Follow the road leaving Don Carlos hotel on your left. When you reach the next roundabout, take 1st exit downhill towards the ocean following the sign to Marriott's Marbella Beach resort. The Resort entrance is on your right hand side approximately 100 meters down. Reminder: Do not leave personal belongings in your vehicle.";46.0 km W;8796439559810;false;<ul><li>Alternate Transportation: autosol</li><li>Estimated taxi fare: 65 EUR (one way)</li></ul>
Output Catalog:Online;NY-ResortMapAndTransportation-JFK;8796721266306;John F. Kennedy International Airport - JFK;718-244-4444;Exit airport on JFK Expressway N. Take exit onto I-678 N/Van Wyck Expressway N. Take exit 12B for Long Island Expressway/I-495W. Take exit toward 3rd Ave/41. Merge onto E 37th St and the hotel will be on the right.;;8796721200770;;
Output Catalog:Online;airport_55_for_MapAndTransportation_00001;8796544253570;Orlando International Airport - MCO;407-825-2001;Take the North Exit from Orlando Int'l Airport. Follow the signs for 528 West (or Beeline Expressway). On 528 W., proceed through two toll booths and a total of approximately 10 miles. Take Exit #1 (Int'l Dr/Sea World). Turn left on Int'l Dr. and proceed 1.5 miles to Grande Vista which is located on the Left.;15 mi SE;8796544220802;false;<ul><li>Estimated taxi fare: 40 USD (one way)</li></ul>
