# catalogVersion;syncItemKey;pk;iiCode;marshaCode;resortCode;tripAdvisorCode;uvCode;wCitiesID;weatherUndergroundCode;resort
Output Catalog:Online;ExternalCode_00018_001;8796496510594;HPS;HHHPT;HP;270523;HP;989;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:29915.2.99999.json;8796163801089
Output Catalog:Online;ExternalCode_00014_001;8796517318274;MGC (Owner week deposits), MC1 (Asia Points program);LASVG;VG;567617;VG;48;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:89044.2.99999.json;8796164096001
Output Catalog:Online;ExternalCode_00054_001;8796539272834;MAW;LIHWI;WI;268659;WI;592;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:96756.1.99999.json;8796164489217
Output Catalog:Online;ExternalCode_00058_001;8796433268354;MUZ;AGPPY;PY;289211;PY;56;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:00000.11.08495.json;8796162818049
Output Catalog:Online;ExternalCode_00022_001;8796506373762;MGK;MCOLR;LR;1801633;LR;75;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/FL/Orlando.json;8796163964929
Output Catalog:Online;ExternalCode_00031_001;8796528459394;NCV;LAXNC;NC;250125;NC;701;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:92657.2.99999.json;8796164292609
Output Catalog:Online;ExternalCode_00056_001;8796541533826;MFC;STTUV;UV;648828;UV;176;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:00805.7.99999.json;8796164521985
Output Catalog:Online;ExternalCode_00043_001;8796546842242;MSW;SLCVI;SM;99818;SM;719;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:84060.1.99999.json;8796164620289
Output Catalog:Online;ExternalCode_00047_001;8796455353986;;RNORT;RT;1479303;RH = Lake Tahoe Rotating Saturday, RW = Lake Tahoe Rotating Friday,RX = Lake Tahoe Fixed SaturdayRT = Lake Tahoe Fixed Friday;597;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:96160.1.99999.json;8796163145729
Output Catalog:Online;ExternalCode_00044_001;8796429860482;MSN;HHHPT;SU;270523;SU;989;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:29915.2.99999.json;8796162752513
Output Catalog:Online;ExternalCode_00017_001;8796493987458;MHZ;MCOHO;HO;223717;HO;75;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/FL/Orlando.json;8796163768321
Output Catalog:Online;Resort_TD_External_Codes_001;8797766467202;MBF;DPSMV;BL;12551042;BL;191;http://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:00000.824.97230.json;8796781248513
Output Catalog:Online;ExternalCode_00057_001;8796543893122;MGV;MCOGV;GV;87833;GV;75;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/FL/Orlando.json;8796164554753
Output Catalog:Online;ExternalCode_00030_001;8796442574466;MOU;SLCMS;MS;223802;MS;719;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:84060.1.99999.json;8796162949121
Output Catalog:Online;ExternalCode_00035_001;8796452765314;MPU;HKTPB;PB;308518;PB;422;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:00000.1.48565.json;8796163112961
Output Catalog:Online;ExternalCode_00013_001;8796489825922;MFV.;AIYFW;FW;240144;FW;988;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:08401.1.99999.json;8796163702785
Output Catalog:Online;wk-resortExternalCodes-001;8797012573826;MWO;KOAMV;WK;223717;WK;615;http://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:96738.1.99999.json;8796355264513
Output Catalog:Online;ExternalCode_00010_001;8796485336706;MCP;MCOCY;CY;85383;CY;75;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/FL/Orlando.json;8796163637249
Output Catalog:Online;ExternalCode_00048_001;8796537077378;;SFORF;RF;2224484;RF = San Francisco, FO = Whole Ownership;39;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:94104.1.99999.json;8796164423681
Output Catalog:Online;ExternalCode_00046_001;8796538191490;;ASERA;RA;276030;RA = Aspen, AF = Aspen Fixed;583;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:81611.1.99999.json;8796164456449
Output Catalog:Online;ExternalCode_00055_001;8796431466114;MHB;SGFHB;HB;224087;HB;607;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:65615.1.99999.json;8796162785281
Output Catalog:Online;ExternalCode_00023_001;8796422028930;MLE;PFNLE;LE;217427;LE;705;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:32401.2.99999.json;8796162621441
Output Catalog:Online;ExternalCode_00002_001;8796459253378;MAO;AUAAO;AB;218462;AB;700;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:00000.1.78982.json;8796163276801
Output Catalog:Online;ExternalCode_00006_001;8796467084930;MCV;PHXCV;CV;286542;CV;77;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:85001.1.99999.json;8796163407873
Output Catalog:Online;ExternalCode_00029_001;8796423929474;MVL;QKBVI;MV;85017;MV;706;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:80424.1.99999.json;8796162654209
Output Catalog:Online;ExternalCode_00053_001;8796456566402;MVD;MIADA;DA;223971;DA;38;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:33010.2.99999.json;8796163178497
Output Catalog:Online;ExternalCode_00019_001;8796520922754;MIP;MCOIP;IM;489938;IM;75;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/FL/Orlando.json;8796164161537
Output Catalog:Online;ExternalCode_00027_001;8796522692226;MKW;LIHKA;KA;1835074;KA;592;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:96766.1.99999.json;8796164194305
Output Catalog:Online;ExternalCode_00036_001;8796533112450;MRP;MCORP;RO;85386;RO;75;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/FL/Orlando.json;8796164358145
Output Catalog:Online;NYExternalCodes;8796585049730;MNY;NYCVC;NY;1186070;NY;33;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:10001.1.99999.json;8796164915201
Output Catalog:Online;ExternalCode_00037_001;8796535209602;MSP;MCOSP;SA;218936;SA;75;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/FL/Orlando.json;8796164390913
Output Catalog:Online;southBeachExternalCodes;8796617621122;MQB;MIAMV;SO;2008516;SO;38;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:33010.2.99999.json;8796191621121
Output Catalog:Online;ExternalCode_00039_001;8796425600642;MSK;SKBKT;KT;2530795;KT;204;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:00000.1.78857.json;8796162686977
Output Catalog:Online;ExternalCode_00040_001;8796427828866;MVB;WHRBI;BI;460086;BI;699;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:81657.1.99999.json;8796162719745
Output Catalog:Online;ExternalCode_00001_001;8796463709826;MGA (RNOGR inventories in QT),MG1 (RNOPH inventories in QT),MG5 (QE inventories),MG3 (QC inventories);RNOGR (studios, 1 bedroom, 2 bedroom),RNOPH (1-3 bd, penthouses);QT;288208;QT = 13 week fractional product,QE = 5 week interest product,QC = 3 week interest product;597;http://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:96150.1.99999.json;8796163342337
Output Catalog:Online;ExternalCode_00015_001;8796491955842;MGO;HHHVI;GR;239905;GR;989;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:29915.2.99999.json;8796163735553
Output Catalog:Online;ExternalCode_00061;8796504276610;MRD;CTDSR;ST;223892;ST;507;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:92210.1.99999.json;8796163899393
Output Catalog:Online;ExternalCode_00062_001;8796438806146;MMC;PHFVI;MQ;110797;MQ;721;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:23081.1.99999.json;8796162883585
Output Catalog:Online;ExternalCode_00042_001;8796546547330;MDO;WHRDO;DO;460086;DO;699;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:81657.1.99999.json;8796164587521
Output Catalog:Online;ExternalCode_00007_001;8796469214850;MEM;PMIMC;MC;1143354;MC;702;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:00000.53.08306.json;8796163440641
Output Catalog:Online;ExternalCode_00009_001;8796472557186;MCU;BOSCH;CH;94344;CH;34;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:02108.1.99999.json;8796163473409
Output Catalog:Online;ExternalCode_00059_001;8796477865602;MMO;HNMMH;MH;87309;MH;531;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:96761.1.99999.json;8796163538945
Output Catalog:Online;au-resortExternalCode-001;8796849323650;MGQ;OOLMV;AU;255671;AU;263;http://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:00000.14.94580.json;8796322496513
Output Catalog:Online;ExternalCode_00032_001;8796498083458;MOW;MYROW;OW;295462;OW;490;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:29572.1.99999.json;8796163833857
Output Catalog:Online;ExternalCode_00052_001;8796510830210;MVF;PARDP;DP;282519;DP;8;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:00000.20.07145.json;8796164030465
Output Catalog:Online;ExternalCode_00025_001;8796439035522;MMB;AGPMB;MB;229493;MB;56;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:00000.39.08482.json;8796162916353
Output Catalog:Online;ExternalCode_00050_001;8796444606082;;WHRLH;VL;2224484;VL = Vail Fixed,VF = Vail Rotating Friday,VS = Vail Rotating Saturday;699;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:81657.1.99999.json;8796162981889
Output Catalog:Online;ExternalCode_00051_001;8796445884034;MML;RNOTL;TL;252805;TL;597;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:96150.1.99999.json;8796163014657
Output Catalog:Online;ExternalCode_00060_001;8796459024002;MM1;HNMMU;MU;87309;MU;531;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:96761.1.99999.json;8796163244033
Output Catalog:Online;ExternalCode_00011_001;8796474588802;MPD;CTDVI;DS;77571;DS;507;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:92210.1.99999.json;8796163506177
Output Catalog:Online;ExternalCode_00004_001;8796481142402;MBY;HHHBB;BB;223798;BB;989;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:29915.2.99999.json;8796163571713
Output Catalog:Online;SD-ResortExternalCodes-001;8796725689986;MSQ;SANVA;SD;80423;SD;63;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:92101.1.99999.json;8796256960513
Output Catalog:Online;ExternalCode_00028_001;8796448833154;MMS;HHHMO;MO;223884;MO;989;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:29915.2.99999.json;8796163047425
Output Catalog:Online;ExternalCode_00005_001;8796465184386;MBP;FLLBP;BP;87418;BP;585;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:33301.1.99999.json;8796163375105
Output Catalog:Online;ExternalCode_00038_001;8796513812098;MRD;CTDSR;SR;223892;SR;507;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:92210.1.99999.json;8796164063233
Output Catalog:Online;ExternalCode_00016_001;8796519186050;MHH;HHHHT;HA;1940230;HA;989;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:29915.2.99999.json;8796164128769
Output Catalog:Online;ExternalCode_00061_001;8796504473218;MFL;WASMV;MY;84096;MY;37;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/DC/Washington.json;8796163932161
Output Catalog:Online;ExternalCode_00026_001;8796524560002;MHG;HHHHR;HE;223800;HE;989;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:29915.2.99999.json;8796164227073
Output Catalog:Online;ExternalCode_00024_001;8796526231170;MMC;PHFVI;MA;110797;MA;721;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:23081.1.99999.json;8796164259841
Output Catalog:Online;ExternalCode_00020_001;8796436577922;MKI;LIHKN;KN;1867453;KN;592;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:96766.1.99999.json;8796162850817
Output Catalog:Online;ExternalCode_00012_001;8796487204482;MDS;CTDDS;DE;503396;DE;507;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:92210.1.99999.json;8796163670017
Output Catalog:Online;PA-resortExternalCodes-001;8797311254146;MKB;HKTPA;PA;1100013;PA;422;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:00000.1.48564.json;8796551938049
Output Catalog:Online;ExternalCode_00003_001;8796461121154;MSU;AUAAC;AC;299788;AC;700;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:00000.1.78982.json;8796163309569
Output Catalog:Online;ExternalCode_00049_001;8796509748866;;STTRS;RS;1633416;RS=St. Thomas,RE=St. Thomas Suites,RG=St. Thomas Suites Fixed;176;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:00805.7.99999.json;8796163997697
Output Catalog:Online;ExternalCode_00034_001;8796531048066;MPB;PBIPS;PS;87491;PS;637;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:33404.4.99999.json;8796164325377
