# catalogVersion;syncItemKey;pk;resort;floorPlanGroupTitle;floorPlanLargeImage;vilaOptions
Output Catalog:Online;Floor_Plan_Identifier_00051_001;8796456599170;8796163178497;Marriott's Villas at Doral  Floor Plan Group Title;8816381755422;
Output Catalog:Online;Floor_Plan_Identifier_00001_005;8796463742594;8796163342337;1-Bedroom 2-Baths;8816386965534;
Output Catalog:Online;Floor_Plan_Identifier_00001_006;8796463873666;8796163342337;2-Bedroom 2-Baths;8816387096606;
Output Catalog:Online;Floor_Plan_Identifier_00015_001;8796491988610;8796163735553;Marriott's Grande Ocean Floor Plan Group Title;8816409051166;
Output Catalog:Online;Floor_Plan_Identifier_00016_001;8796519218818;8796164128769;Marriott's Harbour Club Floor Plan Group Title;8816429727774;
Output Catalog:Online;Floor_Plan_Identifier_00034_001;8796531080834;8796164325377;;8816438312990;
Output Catalog:Online;Floor_Plan_Identifier_00036_001;8796533145218;8796164358145;Marriott's Royal Palms Floor Plan Group Title;8816439722014;
Output Catalog:Online;Floor_Plan_Identifier_00044_002;8796538224258;8796164456449;;8816443523102;
Output Catalog:Online;Floor_Plan_Identifier_00055_001;8796543925890;8796164554753;;8816447914014;
Output Catalog:Online;NY-ResortFloorPlan-GuestRoomKing-001;8796721987202;8796164915201;King Guest Room;8825711034398;
Output Catalog:Online;Floor_Plan_Identifier_00031_001;8796528492162;8796164292609;Marriott's Newport Coast&reg Villas Floor Plan Group Title;8816436281374;
Output Catalog:Online;Floor_plan_identifier_00057_001;8796477898370;8796163538945;;8816398106654;
Output Catalog:Online;Floor_Plan_Identifier_00008_002;8796483010178;8796163604481;;8816402071582;
Output Catalog:Online;Floor_Plan_TD_002;8797766532738;8796781248513;Typical 2-Bedroom Apartment King;8900851597342;
Output Catalog:Online;BI-resortFloorplan-Birch_BISO_ Studio1bed1bath;8797607804546;8796162719745;Birch Studio;8892638363678;
Output Catalog:Online;Floor_Plan_Identifier_00028_001;8796448865922;8796163047425;Marriott's Monarch Floor Plan Group Title;8816375889950;
Output Catalog:Online;Floor_Plan_Identifier_00001_003;8796463808130;8796163342337;Studio;8816387031070;
Output Catalog:Online;Floor_Plan_Identifier_00018_001;8796496543362;8796163801089;Marriott's Harbour Point Floor Plan Group Title;8816412491806;
Output Catalog:Online;Floor_Plan_Identifier_00038_001;8796513844866;8796164063233;;8816425664542;
Output Catalog:Online;Floor_Plan_Identifier_00014_003;8796517416578;8796164096001;;8816428548126;
Output Catalog:Online;Floor_Plan_Identifier_00052_001;8796539305602;8796164489217;Marriott's Waiohai Beach Club Floor Plan Group Title;8816444440606;
Output Catalog:Online;NY-ResortFloorPlan-KingGuestRoom-001;8796721004162;8796164915201;King Guest Room City View;8825695502366;
Output Catalog:Online;Floor_Plan_Identifier_00053_001;8796431498882;8796162785281;Marriott's Willow Ridge Lodge Floor Plan Group Title;8816362422302;
Output Catalog:Online;Floor_Plan_Identifier_00056_003;8796433301122;8796162818049;Typical 3-Bedroom Villa;8816363667486;
Output Catalog:Online;Floor_Plan_Identifier_00048_001;8796444638850;8796162981889;;8816372449310;
Output Catalog:Online;Floor_Plan_Identifier_00049_002;8796445916802;8796163014657;;8816373694494;
Output Catalog:Online;Floor_Plan_Identifier_00033_002;8796450733698;8796163080193;;8816377266206;
Output Catalog:Online;BaronyBeachClubTypicalTwoBedroomOceanviewVilla;8797535321730;8796163571713;Typical 2-Bedroom Ocean Villa;8889730957342;
Output Catalog:Online;Floor_Plan_Identifier_00008_001;8796482977410;8796163604481;;8816402038814;
Output Catalog:Online;Floor_Plan_Identifier_00012_001;8796487237250;8796163670017;Marriott's Desert Springs Villas Floor Plan Group Title;8816405282846;
Output Catalog:Online;Floor_Plan_Identifier_00013_001;8796489858690;8796163702785;Marriott's Fairway Villas Floor Plan Group Title;8816407445534;
Output Catalog:Online;HarbourLakeTypical2BedroomVilla;8797469589122;8796163768321;;8887392206878;
Output Catalog:Online;AU-floorplan-DeluxeGuestroom;8796879765122;8796322496513;;8843378655262;
Output Catalog:Online;wk-resortFloorplan-oneBedroom-001;8797013491330;8796355264513;One Bedroom Suite;8848358735902;
Output Catalog:Online;Floor_Plan_Identifier_00039_004;8796425633410;8796162686977;;8816358260766;
Output Catalog:Online;Floor_Plan_Identifier_00032_001;8796498116226;8796163833857;Marriott's OceanWatch Floor Plan Group Title;8816413605918;
Output Catalog:Online;Floor_Plan_Identifier_00038_002;8796513877634;8796164063233;;8816425697310;
Output Catalog:Online;Floor_Plan_Identifier_00027_001;8796522724994;8796164194305;;8816432152606;
Output Catalog:Online;Floor_Plan_Identifier_00034_002;8796531113602;8796164325377;;8816438345758;
Output Catalog:Online;Floor_Plan_Identifier_00044_001;8796538257026;8796164456449;;8816443555870;
Output Catalog:Online;Floor_Plan_Identifier_00055_002;8796543958658;8796164554753;;8816447946782;
Output Catalog:Online;Floor_Plan_Identifier_00043_001;8796548546178;8796164653057;;8816451452958;
Output Catalog:Online;NY-ResortFloorPlan-DoubleGuestRoom-001;8796720971394;8796164915201;Double Guest Room City View;8830649171998;
Output Catalog:Online;Floor_Plan_Identifier_00030_001;8796442607234;8796162949121;Marriott's MountainSide Floor Plan Group Title;8816370941982;
Output Catalog:Online;Floor_Plan_Identifier_00058_004;8796504571522;8796163932161;;8816419045406;
Output Catalog:Online;Floor_Plan_Identifier_00058_005;8796504604290;8796163932161;;8816419078174;
