# &Item;@media;URL;altText;assignedCockpitItemTemplates;catalog;catalogVersion;code;comments;creationtime;dataPK;deniedPrincipals;derivedMedias;description;folder;internalURL;location;locationHash;mediaContainer;mediaFormat;mime;modifiedtime;owner;permittedPrincipals;realFileName;removable;savedValues;size;subFolderPath;supercategories
Item54;8892636495902.jpg;/medias/2-Birch-BIOT-1bed2bath.jpg?context=bWFzdGVyfGltYWdlc3wzMDI4MXxpbWFnZS9qcGVnfGltYWdlcy9oNjkvaGM3Lzg4OTI2MzY0OTU5MDIuanBnfDkxYWFiYWNmNTBiYjYxMDRhMWIyNDU5Mzg1MWJhNzAyYWRhZTMzOTg4YjI0NDI1MzcwY2NjNmUwN2IxMmMwY2I;Birch 1-Bedroom, 2-Bath Villa;;Output Catalog;Output Catalog:Online;2-Birch-BIOT-1bed2bath.jpg;;22.03.2017 12:33:55;8,892,636,495,902;;;Birch 1-Bedroom, 2-Bath Villa;images;replicated273654712;images/h69/hc7/8892636495902.jpg;91aabacf50bb6104a1b24593851ba702adae33988b24425370ccc6e07b12c0cb;;;image/jpeg;22.03.2017 12:44:09;;;2-Birch-BIOT-1bed2bath.jpg;true;;30,281;;
Item55;8892636364830.jpg;/medias/1-Birch-BIOO-1bed1bath.jpg?context=bWFzdGVyfGltYWdlc3wzNjk4NXxpbWFnZS9qcGVnfGltYWdlcy9oZGUvaGE2Lzg4OTI2MzYzNjQ4MzAuanBnfDJmYTkwODViNTlkNGY3ZTc0ZGNhODdjOWU3MDUyYzIyMGVlMmMxYThmODk4ZDQyMjQ2MDU1Y2JlMmRiYTFkZTA;Birch 1-Bedroom, 1-Bath Villa ;;Output Catalog;Output Catalog:Online;1-Birch-BIOO-1bed1bath.jpg;;22.03.2017 12:33:55;8,892,636,364,830;;;Birch 1-Bedroom, 1-Bath Villa ;images;replicated273654712;images/hde/ha6/8892636364830.jpg;2fa9085b59d4f7e74dca87c9e7052c220ee2c1a8f898d42246055cbe2dba1de0;;;image/jpeg;22.03.2017 12:44:09;;;1-Birch-BIOO-1bed1bath.jpg;true;;36,985;;
Item58;8892501524510.jpg;/medias/mv-floorplan-002.jpg?context=bWFzdGVyfHJvb3R8MjM2MjZ8aW1hZ2UvanBlZ3xoODkvaGI1Lzg4OTI1MDE1MjQ1MTAuanBnfDA1ODUzMGE1YmZkMzExYzQzMGZjNjZiNDdjNzRiZmUzNGEwZTdjZWRjMzczMGVmYmRjZjUxMTk0YTE2YTQ5YjU;;;Output Catalog;Output Catalog:Online;mv_floorplan_002.jpg;;21.03.2017 12:19:08;8,892,501,524,510;;;Typical 1-Bedroom Villa;root;replicated273654712;h89/hb5/8892501524510.jpg;058530a5bfd311c430fc66b47c74bfe34a0e7cedc3730efbdcf51194a16a49b5;;;image/jpeg;22.03.2017 12:44:09;;;mv_floorplan_002.jpg;true;Item56,Item57;23,626;;
Item59;8892639445022.jpg;/medias/9-Evergreen-EVTT-2bed2bath.jpg?context=bWFzdGVyfGltYWdlc3w1MTQ5NnxpbWFnZS9qcGVnfGltYWdlcy9oMTYvaGM2Lzg4OTI2Mzk0NDUwMjIuanBnfDI4OGQxM2RmNmRhZjNhNTViYmNkN2FjODEwYWRlZTYwZGMwZTEzM2Y1NzJiYzU2ZTRhZjQxNTRlOGFiNGU5YWU;Evergreen 2-Bedroom, 2-Bath Villa;;Output Catalog;Output Catalog:Online;9-Evergreen-EVTT-2bed2bath.jpg;;22.03.2017 12:39:04;8,892,639,445,022;;;Evergreen 2-Bedroom, 2-Bath Villa;images;replicated273654712;images/h16/hc6/8892639445022.jpg;288d13df6daf3a55bbcd7ac810adee60dc0e133f572bc56e4af4154e8ab4e9ae;;;image/jpeg;22.03.2017 12:39:04;;;9-Evergreen-EVTT-2bed2bath.jpg;true;;51,496;;
Item63;8906149855262.jpg;/medias/za-floorplan-005.jpg?context=bWFzdGVyfGltYWdlc3w2Mjg2NXxpbWFnZS9qcGVnfGltYWdlcy9oZTYvaDI0Lzg5MDYxNDk4NTUyNjIuanBnfGE0MTM5OTMxMWVhYjcyYWQ1MTEyNzgzMmI2NGYzN2EzNTRhOGNhN2YzZDA2ODA4NzUzNDgwYTlmMGExZjI2Njk;2 Bedroom Poolside Villa;;Output Catalog;Output Catalog:Online;2 Bedroom Poolside Villa;;13.12.2016 11:40:09;8,906,149,855,262;;;2 Bedroom Poolside Villa;images;replicated273654712;images/he6/h24/8906149855262.jpg;a41399311eab72ad51127832b64f37a354a8ca7f3d06808753480a9f0a1f2669;;;image/jpeg;18.07.2017 02:29:00;;;za_floorplan_005.jpg;true;Item60,Item61,Item62;62,865;;
Item64;8825682264094.jpg;/medias/NY-Deluxe-Double.jpg?context=bWFzdGVyfGltYWdlc3w0ODYxN3xpbWFnZS9qcGVnfGltYWdlcy9oMmYvaDc0Lzg4MjU2ODIyNjQwOTQuanBnfDQ3ZTBjYWRmNDNhOGM0YmYzYzlhMjI5NzQ2ZDU4Y2Q1ZDY3OTA0MTdlNmMzNGFlMDgyZWMwNTE5YjBmM2RiMjU;Deluxe Double Guest Room;;Output Catalog;Output Catalog:Online;NY_Deluxe-Double.jpg;;14.03.2016 09:41:32;8,825,682,264,094;;;Deluxe Double Guest Room;images;replicated273654712;images/h2f/h74/8825682264094.jpg;47e0cadf43a8c4bf3c9a229746d58cd5d6790417e6c34ae082ec0519b0f3db25;;;image/jpeg;11.01.2017 01:16:53;;;NY_Deluxe-Double.jpg;true;;48,617;;
Item65;8825682067486.jpg;/medias/NY-Guestroom-Queen.jpg?context=bWFzdGVyfGltYWdlc3w0NTY2OHxpbWFnZS9qcGVnfGltYWdlcy9oMGQvaDMyLzg4MjU2ODIwNjc0ODYuanBnfDE2NzcyZTIyZGRkMzBiZjYwM2I0ZDY2NGJlNzk3YmM5ZWMxYjA2NDY4ZTFhOTVhMjIwNjVjZWYwOGYwZjZiZmY;Queen Guest Room;;Output Catalog;Output Catalog:Online;NY_Guestroom-Queen-001.jpg;;14.03.2016 09:41:32;8,825,682,067,486;;;Queen Guest Room;images;replicated273654712;images/h0d/h32/8825682067486.jpg;16772e22ddd30bf603b4d664be797bc9ec1b06468e1a95a22065cef08f0f6bff;;;image/jpeg;11.01.2017 01:16:53;;;NY_Guestroom-Queen.jpg;true;;45,668;;
Item66;8877007929374.jpg;/medias/8804560502814.jpg?context=bWFzdGVyfGltYWdlc3wyNjMwNnxpbWFnZS9qcGVnfGltYWdlcy9oYzgvaGJjLzg4NzcwMDc5MjkzNzQuanBnfGY3OTFmMjg1MWYzZDZhNGY2YWJiZTc0NWIzN2FlM2EwMzNmYWM3YmUyOTJmNjI5ZjlhMWFmNWQwNjRjMTNmNWY;Typical 2- Bedroom Suite;;Output Catalog;Output Catalog:Online;Resort-HO-Floor-Plan-large-001;;06.02.2016 11:34:20;8,877,007,929,374;;;Typical 2- Bedroom Suite;images;replicated273654712;images/hc8/hbc/8877007929374.jpg;f791f2851f3d6a4f6abbe745b37ae3a033fac7be292f629f9a1af5d064c13f5f;;;image/jpeg;13.02.2017 11:28:49;;;8804560502814.jpg;true;;26,306;;
Item67;8877026934814.jpg;/medias/8804579508254.jpg?context=bWFzdGVyfGltYWdlc3wzMTA4OXxpbWFnZS9qcGVnfGltYWdlcy9oMDcvaGM4Lzg4NzcwMjY5MzQ4MTQuanBnfGYyMTE2ZjczMTZkMjhlZmJkMzYxZTc1Njg1NDAyYTg2ZjM4MWVjYzJmOTJiN2FjNjQ0YTcxZmEyOWYwNmE4Mjc;;;Output Catalog;Output Catalog:Online;Resort-ML-Floor-Plan-large-002;;06.02.2016 11:34:02;8,877,026,934,814;;;Typical 2-Bedroom Middle Villa;images;replicated273654712;images/h07/hc8/8877026934814.jpg;f2116f7316d28efbd361e75685402a86f381ecc2f92b7ac644a71fa29f06a827;;;image/jpeg;11.01.2017 01:16:50;;;8804579508254.jpg;true;;31,089;;
Item68;8876988432414.jpg;/medias/8804541005854.jpg?context=bWFzdGVyfGltYWdlc3wyNTM0OHxpbWFnZS9qcGVnfGltYWdlcy9oMmMvaDU4Lzg4NzY5ODg0MzI0MTQuanBnfDMwYjgwMWZmMzE0YWEyNjA2NWNjZjJkNTAwZThmYjYwODJjOTVlMDg5Yzk0MWE1NGMwYzMwMTc3MDBhN2YxZmM;;;Output Catalog;Output Catalog:Online;Resort-MH-Floor-Plan-large-001;;06.02.2016 11:33:53;8,876,988,432,414;;;Typical 1 Bedroom Villa;images;replicated273654712;images/h2c/h58/8876988432414.jpg;30b801ff314aa26065ccf2d500e8fb6082c95e089c941a54c0c3017700a7f1fc;;;image/jpeg;11.01.2017 01:16:48;;;8804541005854.jpg;true;;25,348;;
