# catalogVersion;syncItemKey;pk;localActivitiesDetails;localActivitiesIntro;localActivitiesTitle;localActivitiesSubtitle;resort
Output Catalog:Online;LocalActivities_00034_001;8796531211906;This information comes from Wcities;"Outdoor adventure and cosmopolitan fun are the hallmarks of a Palm Beach shores vacation. Hit the waves for every watersport imaginable or hit the town for distinctive dining, luxury shopping and cultural arts attractions &mdash; your location puts you close to it all.";Local Activities;Local Activities;8796164325377
Output Catalog:Online;LocalActivities_00046_001;8796537208450;This information comes from wCities.;San Francisco is a unique, breathtaking city. The city takes pride in its unrivaled attractions, renowned museums, and unique neighborhoods. Discover the variety of sites, shops, and restaurants that reflect the city's great ethnic and cultural diversity.;Local Activities;Local Activities;8796164423681
Output Catalog:Online;LocalActivities_00054_001;8796541664898;This information comes from wCities.;When it comes to an unforgettable Caribbean vacation, St. Thomas is a natural: natural adventures, natural history and natural beauty abounds. Snorkel at Coki Beach, sail to Caneel Bay, explore nearby historic Hassel Island or visit the second oldest synagogue in the Western Hemisphere.;Local Activities;Local Activities;8796164521985
Output Catalog:Online;LocalActivities_00006_001;8796467216002;This information comes from wCities..;This area provides plenty of natural wonders to see and remarkable things to do. Explore the desert on horseback, take a gallery stroll in Scottsdale, go rock climbing, golf at the Wildfire Golf Club or enjoy a relaxing massage at nearby Revive Spa.;Local Activities;Local Activities;8796163407873
Output Catalog:Online;LocalActivities_00011_001;8796474719874;This information comes from wCities.;Palm Desert is brimming with exotic sights to see and fun things to do. Explore the Living Desert, trek through Joshua Tree National Park, or ride a cruiser bike and marvel at mid-century architecture. Mosey through museums, try your luck at a casino or enjoy the spectacular golf, swim and spa facilities right here.;Local Activities;Local Activities;8796163506177
Output Catalog:Online;LocalActivities_00021_001;8796501327490;This information comes from wCities.;Opportunities for exciting excursions, world-class recreation and first-class relaxation abound on this enchanted island. Explore the cosmopolitan capital of Honolulu, which is only 18 miles away. Visit the Pearl Harbor Memorials. Golf on breathtaking and challenging courses. It's all up to you.;Local Activities;Local Activities;8796163866625
Output Catalog:Online;LocalActivities_00051_001;8796456894082;This information comes from Wcities.;Known as 'the American Riviera' and an 'Art Deco Playground,' Miami's South Beach is nearby and home to some of the world's best beaches and an eclectic mix of first-class boutiques, culinary treasures and nighttime hotspots.;Local Activities;Local Activities;8796163178497
Output Catalog:Online;LocalActivities_00014_001;8796517514882;This information comes from Wcities;The iconic sign says it all: Welcome to Fabulous Las Vegas. Here, you're close to everything that makes a Las Vegas vacation fabulous: A-list entertainers, big budget stage shows, world-class gaming, golf and nightlife. And just minutes beyond the Strip, there's a world of recreational splendor waiting to be explored.;Local Activities;Local Activities;8796164096001
Output Catalog:Online;LocalActivities_00036_001;8796533243522;This information comes from wCities.;"All that gives Orlando its well-earned reputation as the most popular family vacation playground is nearby: amusement, theme and water parks; spectacular golf courses; watersports; dining and shopping.";Local Activities;Local Activities;8796164358145
Output Catalog:Online;LocalActivities_00053_001;8796431662722;This information comes from Wcities;All that keeps Branson hopping is close by. Watch the stars come out at night in dozens of music stages and playhouses, sip and dine downtown or step back in time at Silver Dollar City. Within minutes of the bright lights of Branson, you can enjoy a variety of recreational activities, including hiking, biking, kayaking, fishing and horseback riding.;Local Activities;Local Activities;8796162785281
