# catalogVersion;syncItemKey;pk;airportName;airportPhoneNumber;airportTitle;drivingDirection;hotelDirection;otherOptionTitle;otherTransportation;otherTransportationTitle;parkingInfo;parkingTitle;shuttleServiceFlag;transportHelpInfo;mapAndTransportation
Output Catalog:Online;transportInfo_23_for_MapAndTransportation_00001;8796422225538;Northwest Florida Beaches International Airport - ECP;850-763-6751;;<p>Leaving Northwest Florida Beaches Int'l Airport, take a RIGHT (West) on Hwy 388. Turn LEFT (South) on Hwy 79. Turn LEFT (East) on Hwy 98 (Panama City Beach Pkwy). Turn RIGHT on the service road for THOMAS DR / NSA MAIN GATE / BAY POINT. Turn LEFT (East) on Front Beach Rd. Stay to the RIGHT of the overpass ramp and continue East to Thomas Dr. Turn RIGHT on Thomas Dr. Turn LEFT on Magnolia Bch Rd. Magnolia Beach will veer to the RIGHT and change names to Delwood Beach Rd.Turn RIGHT on Jan Cooley Rd. Turn RIGHT into the main gate. Turn LEFT at traffic circle and continue on to Legends Edge (4000 Marriott Dr.).</p>;10.5 mi SW;Parking. Area Airports;<ul><li>Bus Station: Greyhound bus lines 11.7 miles E</li></ul>;;<ul><li>Complimentary on-site parking</li></ul>;;false;<ul><li>Alternate Transportation: Affordable Limousine</li><li>Estimated taxi fare: 20 USD(one way)</li></ul>;8796422192770
Output Catalog:Online;transportInfo_41_for_MapAndTransportation_00001;8796547038850;Salt Lake City International Airport - SLC;801-575-2400;;<p>Exit the airport onto 1-80 east towards Cheyenne to Kimball Junction, exit number 145. Turn south onto state road 224. Continue approximately 6 miles to Deer Valley Drive, turn left onto Deer Valley Drive. Go approximately 8/10 of a mile. Entrance to resort is on the right. Pull into circular drive to register with the Front Desk (Lodge Building).@</p>;28.0 mi NW;Parking. Area Airports;;;<ul><li>On-site parking, fee: 15 USD daily</li><li>One complimentary vehicle per 2-bedroom villa</li></ul>;;false;<ul><li>Contact Concierge Services at 435-647-4100 for information on transportation</li><li>Estimated taxi fare: $75-$85 USD (one way)</li></ul>;8796547006082
Output Catalog:Online;transportInfo_15_for_MapAndTransportation_00001;8796492152450;Hilton Head Municipal Airport - HHH;843-689-5400;;Take Airport road to highway 278. Turn East. Follow 278 approximately 9 miles to the Seapines Traffic Circle. Follow the traffic circle to Pope Avenue. Follow Pope Avenue until it ends at Coligny Circle. Taken Cologiny Circle to South Forrest Beach Drive. Take South Forrest Beach Drive 3/4 of a mile and Grande Ocean will be on the left hand side.;9.0 mi S;Parking, Area Airports, Other Transportation;"<ul>
    <li>Bus Station: Greyhound 40 miles NE</li>
    <li>Train Station: Amtrak 58 miles SW</li>
</ul>";;<ul><li>Complimentary on-site parking</li></ul>;;false;<ul><li>Estimated taxi fare: 18 USD (one way)</li></ul>;8796492119682
Output Catalog:Online;transportInfo_32_for_MapAndTransportation_00001;8796498280066;Myrtle Beach International Airport - MYR;843-448-1589;;<p>Upon exiting Myrtle Bch Int'l Airport, go to 17 Bypass. Turn right on 17 Bypass towards North Myrtle Bch. Stay on 17 Bypass, turn right on 82nd Ave North (Parkway). Follow 82nd Ave North to next traffic light (Business 17/Kings Highway), go through traffic light for approx 1 mile. Make right on Grande Dunes Blvd.</p>;14.0 mi N;Parking. Area Airports. Other Transportation;<ul><li>Bus Station: Greyhound Bus 10 miles S</li><li>Car Rentals (nearby): Hertz</li></ul>;;"<ul><li>For Owners and guests vacationing in the Seaside Villas, parking is available for one vehicle per villa in the garage adjacent to these villas. Secondary vehicles are to be parked in the designated parking area which is the second floor of the &quot;Woodsy&quot; area garage located in the rear of the resort.</li><li>For Owners and guests vacationing in the Woodsy Villas, street level parking and the &quot;Woodsy&quot; garage is available for your vehicles.</li><li>Recreational vehicles, mobile homes, trailers, buses, commercial vehicles, etc. cannot be accommodated on site. Please call the resort prior to arrival to obtain information on nearby parking facilities.</li></ul>";;false;<ul><li>Estimated taxi fare: 30 USD (one way)</li></ul>;8796498247298
Output Catalog:Online;transportInfo_50_for_MapAndTransportation_00001;8796511223426;Paris/Orly - ORY;;;ORY (47 km E) take Freeway A86 direction Creteil, Bobigny - take Freeway A4 direction Metz, Nancy - exit 14 direction Bailly-Romainvilliers Disneyland - first exit right to Bailly-Romainvilliers, at traffic light turn left, at round-about turn left direction Magny-le-Hongre. Resort is on your left at traffic light. Transfer Service from/to Airport upon reservation at cost.;47.0 km E;Parking. Area Airports. Other Transportation;"<ul>
    <li>Bus Station—Orme Rond 0.1 miles E</li>
    <li>Train Station—Marne-la-Vallee Chessy 3.1 miles N</li>
    <li>Shuttle bus service to Disneyland available. Tickets to be purchased in advance from the resort.</li>
</ul>";;<ul><li>Complimentary on-site parking</li><li>Free parking is available in nearby villages on the street but at car owner's own risk. </li></ul>;;false;<ul><li>Alternate Transportation: Transfer service or bus</li><li>Estimated taxi fare: 120.00 EUR (one way)</li></ul>;8796511190658
Output Catalog:Online;transportInfo_34_for_MapAndTransportation_00001;8796531277442;Fort Lauderdale-Hollywood International Airport - FLL;;;From I-95: Take Exit 78A (PGA Boulevard) east, continue for approx. 2 miles to US 1. Cross US 1, which becomes A1A, and continue for 5 miles to Lake Drive (4th traffic signal). Turn left and proceed to end of Lake Drive. Bear left onto Inlet Way. Go to South Ocean Ave, turn left. The resort is approx 1/8 of a mile on right.;50.0 mi NE;Parking, Area Airports, Other Transportation;<ul>     <li>Train Station: West Palm Beach (10 mi)</li>     <li>Car Rentals (nearby): Hertz</li> </ul>;;<ul><li>Complimentary on-site parking</li></ul>;;false;<ul><li>Estimated taxi fare: 120.00 USD (one way)</li></ul>;8796531244674
Output Catalog:Online;transportInfo_4_for_MapAndTransportation_00001;8796481339010;Hilton Head Municipal Airport - HHH;843-689-5400;;From airport turn right onto Dillon Rd. At intersection to William Hilton Parkway/Hwy 278, turn left on 278. Continue on William Hilton Pkwy until the entrance to Port Royal Plantation, which will be on your left. At traffic light, turn left and enter Port Royal Plantation. Take the second left, and follow this road to the stop sign, then turn right. Go through tunnel and turn right into the resort. If you are arriving after hours, press call button on keypad outside guardhouse to reach a resort associate to raise entrance gate.;4.0 mi S;Parking, Area Airports,Other Transportation;<ul><li>Bus Station:Greyhound Savannah (45 mi)</li><li>Train Station:Amtrak Savannah (45 mi W) </li></ul>;;<ul><li>Complimentary on-site parking</li></ul>;;false;<ul><li>Estimated taxi fare: 15.00 USD (one way)</li></ul>;8796481306242
Output Catalog:Online;transportInfo_57_for_MapAndTransportation_00001;8796478094978;Kahului Airport - OGG;;;Driving Directions: Exit Kahului Airport on KEOLANI PLACE. Stay in middle lane and continue onto DAIRY RD/HWY 380. DAIRY RD/HWY 380 becomes KUIHELANI RD/HWY 380 at PUUNENE intersection. Continue straight onto KUIHELANI RD/HWY 380 until last traffic signal. Turn LEFT onto HONOAPIILANI HWY/HWY 30 and continue north Proceed toward Lahaina & Ka'anapali. Turn left at traffic light at KAANAPALI PARKWAY, proceed 1/4 mile to NOHEA KAI DRIVE, turn left Resort entrance will be on right.;Hotel Direction: 30.0 mi N;Parking Area Airports;"<ul>
    <li>Car Rentals (nearby): </li>
    <ul>
        <li>Hertz</li>
        <li>National Car Rental</li>
    </ul>
</ul>";;"<ul>
    <li>Valet parking, fee: 22 USD daily</li>
    <li>Self Parking, fee: 20 USD daily; complimentary for Owners</li> 
</ul>";;false;<ul><li>Alternate transportation: Speedy Shuttle Phone: 808-242-7777</li><li>Bus service, fee: 40 USD (one way)</li><li>Estimated taxi fare: 100 USD (one way)</li></ul>;8796478062210
Output Catalog:Online;transportInfo_12_for_MapAndTransportation_00001;8796487433858;Palm Springs International Airport - PSP;;;Exit airport, turn left on El Cielo. Go approx. 1/2 mile (6 /10ths) to Ramon Road. Turn left on Ramon Road, go 6 miles to I-10. Take I-10 E for 3 1/2 miles, exit Cook Street go right and proceed 2 1/2 miles to the Villas entrance. The entrance is on Cook Street, on right side of street 1/2 mile past Country Club Drive. The entrance is on the right approx. 1/2 mile past Country Club Drive.;18.0 mi;Parking Area Airports;"<ul>
    <li>Car Rentals (nearby): </li>
    <ul>
        <li>Hertz</li>
        <li>Budget</li>
        <li>Enterprise</li>
        <li>Avis</li>
        <li>Thrifty</li>
        <li>Dollar Rent A Car</li>
    </ul>
</ul>";;<ul><li>Complimentary on-site parking</li><li>No RV parking allowed. Vehicle must fit in one parking space.</li></ul>;;false;<ul><li>Estimated taxi fare: 35.00 USD (one way)</li></ul>;8796487401090
Output Catalog:Online;PA-resortMapsAndTransportation-Airports-001;8797311352450;;;;;;Parking Area Airports;"<ul>
<li>Local taxi service from airport to hotel is THB 500/way or estimated 15 USD</li>
<li>Limousine service to and from airport THB 1500 or 45 USD per car per way, 3 people maximum.
</li>
<li>Van service THB 1500 or 45 USD per van per way, 7 people maximum. Advance reservations through hotel required.</li>
</ul>";;"<ul>
<li>Complimentary on-site and valet parking</li>
</ul>";;;;8797311319682
