# catalogVersion;syncItemKey;pk;street1;street2;city;state;postalCode;country;resortCheckInTime;resortCheckOutTime;phone;fax;latitude;longitude;region;resortDestination
Output Catalog:Online;Resort_Address_00009;8796473802370;3 McKinley Square;;Boston;Massachusetts;2109;USA;04:00:PM;11:00:AM;617-310-6300;617-310-6301;42.359044;-71.053587;North America;Boston
Output Catalog:Online;Resort_Address_00024;8796527672962;101 St. Andrews Drive;;Williamsburg;Virginia;23188;USA;04:00:PM;10:00:AM;757-258-1120;757-258-5705;37.3034575;-76.7805827;North America;Virginia
Output Catalog:Online;Resort_Address_NY;8796551954050;33 West 37th Street;;New York City;New York;10018;USA;03:00:PM;12:00:PM;212-448-1024;646-368-6382;40.7512;-73.9849;North America;New York
Output Catalog:Online;Resort_Address_00015;8796493233794;51 South Forest Beach Drive;;Hilton Head Island;South Carolina;29928;USA;04:00:PM;10:00:AM;843-686-7343;843-686-3497;32.1370833;-80.7620915;North America;Hilton Head Island
Output Catalog:Online;Resort_Address_00039;8796426911362;858 Frigate Bay Road;;St. Kitts;;;St. Kitts and Nevis;04:00:PM;10:00:AM;869-466-1500;869-466-1201;17.275452;-62.678303;Caribbean;St. Kitts and Nevis
Output Catalog:Online;BK-resortAddress-001;8797313154690;88 Naradhiwas Rajanagarindra Road;;Yannawa, Sathorn;Bangkok;10120;Thailand;4:00:PM;10:00:AM;66-2-2108000;n/a;13.719399;100.531019;Asia;Phuket
Output Catalog:Online;Resort_Address_AU;8797284712066;158 Ferny Avenue;;Gold Coast;Surfers Paradise;4217;Australia;4:00:PM;10:00:AM;7-5592 9800;7-5592 9888;-27.9913;153.428;Australia;Surfers Paradise
Output Catalog:Online;Resort_Address_00012;8796489039490;1091 Pinehurst Lane;;Palm Desert;California;92260;USA;04:00:PM;10:00:AM;760-779-1200;760-779-1203;33.7515694;-116.3592184;North America;California
Output Catalog:Online;Resort_Address_00007;8796471606914;Carretera MA 19;Salida n 20 Llucmajor;Mallorca;Balearic Islands;7620;Spain;04:00:PM;10:00:AM;34 97 170 5200;34 97 170 5201;39.4842763;2.89013879999993;Europe;Spain
Output Catalog:Online;Resort_Address_00006;8796468395650;5220 East Marriott Drive;;Phoenix;Arizona;85054;USA;04:00:PM;10:00:AM;Toll Free: 877-226-9663 Phone: 480-629-3200;480-629-3210;33.6839912;-111.9724897;North America;Arizona
Output Catalog:Online;Resort_Address_00040;8796428877442;2284 South Frontage Road West;;Vail;Colorado;81657;USA;04:00:PM;10:00:AM;970-476-6000;970-476-8961;39.6261693;-106.4205915;North America;Colorado
