# catalogVersion;syncItemKey;pk;resortFeatureAlert;resortFeatureDisclaimer;resortFeatureTitle;resortFeatureSubTitle;resortFeatureSummary;resortFeatureLegalCode
Output Catalog:Online;PA-resortFeatures-001;8797312106114;;;Resort Features;;"<p>Spend an afternoon taking in the view and soaking up some rays at the outdoor pool and swim-up bar. A fully equipped fitness center, tennis courts and a children's outdoor pool with waterslide keep the whole family active and engaged. For additional pampering and dining, you'll enjoy convenient access to the nearby JW Marriott<sup>&reg;</sup> Phuket Resort & Spa.</p>";
Output Catalog:Online;SD-ResortFeature-001;8796726804098;;<i>Features and amenities are subject to change.</i><!-- Resort Feature Disclaimer -->;Property Features;;"<p>Inspired by the aesthetic and spirit of the Gaslamp Quarter, Marriott Vacation Club Pulse, San Diego greets you with a perfect blend of historic ambiance and contemporary design. Relax and recharge before venturing out to experience San Diego's amazing nightlife. Or kick back California-style with a signature cocktail at Shake, our 12th floor bar and lounge. </p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=NA&resort=SD"">View list of options</a>.</p>";
Output Catalog:Online;ResortFeature_00042;8796430810754;;"<p><span style=""font-size: smaller;"">Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.</span></p>";Resort Features;Resort Features;<p>Enjoy a multitude of gracious and gratifying amenities including sparkling outdoor pools, a comprehensive fitness center and planned family and children's activities.</p>;
Output Catalog:Online;ResortFeature_00049;8796447850114;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;<p>Surrounded by snowcapped peaks, you'll enjoy a heated pool and whirlpool spas, a fitness center, separate children's pool and activity center, on-site restaurant, ski valet and easy access to world-renowned skiing from Heavenly Village. </p>;
Output Catalog:Online;ResortFeature_00035;8796454600322;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;<p>you'll enjoy a delightful array of amenities, including three lavish pools, newly renovated Children's Pavilion and playground, an award-winning spa, fitness center, tennis courts and on-site restaurants and lounges. </p>;
Output Catalog:Online;ResortFeature_00025;8796441656962;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p>Amid lush gardens and palms with panoramic ocean views, you'll find activity and relaxation. Expansive, lavishly landscaped grounds lead to multiple pools, an updated fitness center, restaurants and lounges. </p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=EU&resort=MB"">View list of options</a>.</p>";
Output Catalog:Online;ResortFeature_00056;8796435693186;;<p>Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.</p>;Resort Features;Resort Features;"<p>Amid manicured grounds and panoramic ocean views, you'll enjoy shimmering pools, a European spa, on-site restaurant, fitness center, exercise classes and planned children's and family activities.</p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=EU&resort=PY"">View list of options</a>.</p>";
Output Catalog:Online;ResortFeature_00053;8796432449154;;<p>Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.</p>;Resort Features;Resort Features;"<p>Surrounded by a beautiful wooded landscape and the sound of waterfalls, you'll find something for everyone in the family at Marriott's Willow Ridge Lodge &mdash; indoor and outdoor pools, a fitness center and fun-filled activity complex. </p>";
Output Catalog:Online;ResortFeature_00014;8796518366850;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p>Embodying the architecture, d&eacute;cor and provincial charm of the south of France, Marriott's Grand Chateau is a respite and retreat. Take a break from the heat at the pool, grab a workout in the modern fitness center or appreciate a Vegas sunset from SkyBar 38 rooftop bar. </p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=NA&resort=VG"">View list of options</a>.</p>";
Output Catalog:Online;ResortFeature_00018;8796497428098;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;<p>Marriott's Harbour Point is a peaceful, private setting that offers spectacular views of Broad Creek and thoughtful amenities including a spacious and updated fitness center and planned family and children's activities.   </p>;
