# catalogVersion;syncItemKey;pk;resort;resortMapPDF
Output Catalog:Online;Assets_Identifier_00015_002;8796491890306;8796163735553;8816408920094
Output Catalog:Online;Assets_Identifier_00018_002;8796496445058;8796163801089;8816412360734
Output Catalog:Online;Assets_Identifier_00047_001;8796509716098;8796163997697;
Output Catalog:Online;Assets_Identifier_00038_002;8796513713794;8796164063233;8816425467934
Output Catalog:Online;Assets_Identifier_00038_004;8796513746562;8796164063233;8816425467934
Output Catalog:Online;Assets_Identifier_00038_001;8796513779330;8796164063233;8816425467934
Output Catalog:Online;Assets_Identifier_00014_002;8796517252738;8796164096001;8816428384286
Output Catalog:Online;Assets_Identifier_00014_001;8796517285506;8796164096001;8816428384286
Output Catalog:Online;Assets_Identifier_00019_002;8796520857218;8796164161537;8816430841886
Output Catalog:Online;Assets_Identifier_00035_001;8796452732546;8796163112961;8816378544158
Output Catalog:Online;Assets_Identifier_00022_001;8796506340994;8796163964929;8816419995678
Output Catalog:Online;Assets_Identifier_00037_001;8796535144066;8796164390913;8816441294878
Output Catalog:Online;Assets_Identifier_00054_001;8796541468290;8796164521985;8816446144542
Output Catalog:Online;Assets_Identifier_00033_002;8796450602626;8796163080193;8816377135134
Output Catalog:Online;Assets_Identifier_00045_001;8796455321218;8796163145729;
Output Catalog:Online;Assets_Identifier_00042_001;8796429827714;8796162752513;8816361209886
Output Catalog:Online;Assets_Identifier_00002_001;8796459220610;8796163276801;8816383754270
Output Catalog:Online;Assets_Identifier_00006_001;8796467019394;8796163407873;8816389488670
Output Catalog:Online;Assets_Identifier_00009_002;8796472524418;8796163473409;8816393879582
Output Catalog:Online;Assets_Identifier_00011_001;8796474523266;8796163506177;8816395419678
Output Catalog:Online;Assets_Identifier_00021_001;8796501098114;8796163866625;8816416063518
Output Catalog:Online;Assets_Identifier_00015_001;8796491923074;8796163735553;8816408920094
Output Catalog:Online;Assets_Identifier_00050_001;8796510797442;8796164030465;8816423010334
Output Catalog:Online;Assets_Identifier_00019_001;8796520889986;8796164161537;8816430841886
Output Catalog:Online;Assets_Identifier_00024_001;8796526198402;8796164259841;8816434413598
Output Catalog:Online;Assets_Identifier_00023_001;8796421963394;8796162621441;8918779297822
