# catalogVersion;syncItemKey;pk;villaAccomodationHeading;villaAccomodationOverview;villaAmenitiesSummary;villaAmentiesIntro;villaAmentiesTitle;villaAmentiesSubTitle;villaDiningHeading;villaDiningOverview;villaAmentiesDisclaimer;resort
Output Catalog:Online;VillaAmenities_00040;8796429368962;Accommodations Overview;"<br/>

<strong>BIRCH</strong>
<ul>
    <li>Studio</li>
    <li>1-Bedroom, 1-Bath Villa</li>     
    <li>1-Bedroom, 2-Bath Villa</li>     
    <li>2-Bedroom, 2-Bath Villa</li> 
</ul>   
<br/>


<strong>DOUGLAS</strong>
<ul>
    <li>1-Bedroom, 2-Bath Villa</li>
    <li>1-Bedroom, 3-Bath Bi-Level Loft</li>     
    <li>2-Bedroom, 3-Bath Bi-Level Loft</li>    
</ul> 
<br/>  


<strong>EVERGREEN</strong>
<ul>
    <li>2-Bedroom, 2-Bath Villa</li>    
</ul>";;After a day filled with outdoor adventures, you'll be pleased to return to your indoor accommodations. Sophisticated and spacious, 1- and 2-bedroom villas offer exceptional comfort with all the creature comforts of home.;Villa Amenties;Villa Amenities;Dining In Your Villa;<p>With a kitchen and dining area in your villa, dining during vacation is lots more convenient and economical. Make coffee in the morning, hot cocoa in the afternoon, quick lunches and snacks, even big dinners for the whole family, right in your villa.</p>;Features and amenities are subject to change.;8796162719745
Output Catalog:Online;VillaAmenities_00032;8796500901506;Accommodations Overview;<ul><li>2-bedroom 2-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul><p>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>;;Your 2-bedroom villa has plenty of room for everyone to unwind in comfort and style.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>Experience the convenience and economy of having a full kitchen and dining area in your villas. Make coffee, eggs and toast in the morning. Fix lunches and snacks on the go. Even prepare big family dinners. It's a great option for saving time and money while on vacation.</p>;Features and amenities are subject to change.;8796163833857
Output Catalog:Online;VillaAmenities_00019;8796522462850;Accommodations Overview;<ul><li>3-bedroom 2-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul><p>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>;;"Orlando was made for family vacations &mdash; and your villa boasts enough space and amenities to please every family member &mdash; including 3 bedrooms, separate living and dining areas, a fully equipped kitchen and private balcony.";Villa Amenities;Villa Amenities;Dining In Your Villa;With a fully stocked kitchen and dining area right in your villa, vacation meals are convenient and economical. Brew coffee in the morning, grab snacks from the fridge in the afternoon, even prepare dinners for the whole family right in the comfort of your villa.;Features and amenities are subject to change.;8796164161537
Output Catalog:Online;VillaAmenities_00044;8796539043458;;;Designed by Robert A.M. Stern, Dean of the Yale School of Architecture. Fully-equipped gourmet kitchens with top-of-the-line appliances. Flat screen TVs with surround sound entertainment centers. Master suites with king-sized beds and walk-in closets. Comfortable and spacious living and dining areas. Natural stone fireplaces. Luxurious master bathrooms with double vanities and heated Italian marble floors. Frette linens. Full size washer and dryer. On-site business center with high-speed Internet access;<p>Relax and experience an uncompromising level of service, first-class amenities, and memorable vacations in a place surrounded by beauty.</p>;Residence Amenities;Residence Amenities;;;Features, furnishings and amenities may be proposed and are subject to change.;8796164456449
Output Catalog:Online;VillaAmenities_00054;8796543532674;Accommodations Overview;<ul><li>2-bedroom 2-bath or 3-bedroom 3-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.;;Lavishly appointed 2- and 3-bedroom villas provide ample room and comfort to kick back, relax and breathe easy surrounded by island breezes.;Villa Amenities;Villa Amenities;Dining In Your Villa;With a fully stocked gourmet kitchen in your villa, you can dine in whenever you like. Fix quick breakfasts and light lunches, grab snacks any time, even host dinner parties. This is a wonderfully convenient option to have on vacation and big budget saver, too.;Features and amenities are subject to change.;8796164521985
Output Catalog:Online;VillaAmenities_00006;8796468985474;Accommodations Overview;<ul><li>2-bedroom 2-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul>;;"<p>Whenever you're ready to retreat, your spacious and welcoming 2-bedroom villa makes the perfect vacation.</p>  <p>Select villas offer Lock-off option, enabling you to create separate units; one with full kitchen, living and dining areas, and the other with a kitchenette.</p>";Villa Amenities;Villa Amenities;Dining In Your Villa;<p>With a full kitchen right in your villa, you can dine in whenever you like. Make coffee and eggs in the morning, fix sandwiches for lunch, keep snacks at the ready, even make a big family dinner. You'll save lots of time and money, and enjoy more time together.</p>;Features and amenities are subject to change.;8796163407873
Output Catalog:Online;VillaAmenities_00007;8796472196738;Accommodations Overview;<ul><li>1-bedroom, 2-bedroom or 3-bedroom villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul><p>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>;;"Your plush 2-bedroom or 3-bedroom townhouse is generously proportioned, elegantly appointed and even includes a private terrace/garden area.";Villa Amenities;Villa Amenities;Dining In Your Villa;<p>Experience the great convenience and economy of having a full kitchen and separate dining area in your townhouse. This option is great for families and for solving the problem of how to satisfy anyone whose palate doesn't favor the local cuisine while visiting abroad.</p>;Features and amenities are subject to change.;8796163440641
Output Catalog:Online;VillaAmenities_00004;8796482649730;Accommodations Overview;"<ul><li>2-bedroom 2-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul><p>&nbsp;</p>";;Your expansive, exquisitely appointed 2-bedroom villa is a vacation destination unto itself, filled creature comforts and little luxuries that will make you feel right at home.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>With a fully stocked kitchen and dining area in your villa, you can eat in whenever you like. Enjoy everything from snacks and cold drinks to full family meals. You're sure to enjoy the convenience and appreciate the sizable savings this option affords.</p>;(Accommodations Overview): In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.(Villa Floor Plans): Features and amenities are subject to change.;8796163571713
Output Catalog:Online;au-resortVillaAmenities-001;8796850339458;Accommodations Overview;"<ul>
<li>Luxurious bedding featuring down comforters, custom duvets and cotton-rich linens</li>
<li>Private balcony</li>
<li>Cable/satellite TV</li>
<li>High speed internet access</li>
</ul>";;Elegantly appointed guestrooms and suites are welcoming and cozy, with a kitchenette, private balcony and filled with simple pleasures you'll appreciate.;"Room &amp; Amenities";;Dining in Your Room or Suite;<p>Your room or suite includes a kitchenette that provides flexibility and value during your vacation. Enjoy coffee in the mornings or stock up on snacks. The convenience and cost savings are hard to beat.</p>;;8796322496513
Output Catalog:Online;wk-resortVillaAmenities-001;8797013294722;Accommodations Overview;"<ul>
	<li>1-bedroom 1-bath and 2-bedroom 2-bath suites</li>
	<li>Patio/balcony</li>
	<li>Complimentary Wi-Fi</li>
	<li>Complimentary in-room coffee</li>
</ul>";;Well-appointed and attractively decorated, your 1- or 2-bedroom suite is an oasis of comfort, perfect for midday napping and end-of-day relaxing.;Room & Amenities;;Eating in Your Suite;<p>Your suite will provide flexibility on vacation, with a microwave, dishwasher and refrigerator. Enjoy coffee in the morning or stock up on snacks. The convenience is hard to beat.</p>;"Features and amenities are subject to change.
 

<br/>
<p>Marriott’s Waikoloa Ocean Club is anticipated to become available through the Marriott Vacation Club DestinationsTM Exchange Program in the Spring of 2017.  This affiliation and occupancy of Marriott’s Waikoloa Ocean Club is subject to Marriott Vacation Club International closing on its purchase of the resort.  Reservations will be taken starting September 1, 2016 for Spring 2017 arrivals.</p>";8796355264513
