# catalogVersion;syncItemKey;pk;detail;title;vilaOptions
Output Catalog:Online;VilaDetails_053_003;8796433038978;"<div><span class='visible-md visible-lg'>Making in-room cooking and dining convenient</span><ul class='contentToggle closed'><li>Conventional oven</li><li>Stove</li><li>Refrigerator with icemaker</li><li>Dishwasher</li><li>Microwave oven</li><li>Toaster</li><li>Coffee pot</li><li>Pots, pans, serving dishes</li><li>Silverware and Dishware</li></ul></div>";Kitchen Amenities;8796432940674
Output Catalog:Online;VilaDetails_056_002;8796436348546;"<div><ul class='contentToggle closed'><li>Portable pack and play</li><li>Foam pillows</li><li>Additional serviceware</li></ul></div>";Upon Request;8796436250242
Output Catalog:Online;VilaDetails_056_004;8796436414082;"<div><span class='visible-md visible-lg'>Making your home away from home comfortable</span><ul class='contentToggle open'><li> Alarm clock</li><li> Coffee maker</li><li>Iron/Ironing Board</li><li> Pillows: Down/Feather</li><li> Pull out sofa bed</li></ul></div>";General Amenities;8796436381314
Output Catalog:Online;VilaDetails_020_001;8796438642306;"<div><span class='visible-md visible-lg'>Making your home away from home comfortable</span><ul class='contentToggle open'><li> Alarm clock</li><li> Coffee maker</li><li>Iron/Ironing Board</li><li> Pillows: Down/Feather</li><li> Pull out sofa bed</li></ul></div>";General Amenities;8796438544002
Output Catalog:Online;VilaDetails_020_006;8796438740610;"<div><span class='visible-md visible-lg'>Making in-room cooking and dining convenient</span><ul class='contentToggle closed'><li>Conventional oven</li><li>Stove</li><li>Refrigerator with icemaker</li><li>Dishwasher</li><li>Microwave oven</li><li>Toaster</li><li>Coffee pot</li><li>Pots, pans, serving dishes</li><li>Silverware and Dishware</li></ul></div>";Kitchen Amenities;8796438675074
Output Catalog:Online;VilaDetails_029_003;8796425305730;"<div><span class='visible-md visible-lg'>Making in-room cooking and dining convenient</span><ul class='contentToggle closed'><li>Conventional oven</li><li>Stove</li><li>Refrigerator with icemaker</li><li>Dishwasher</li><li>Microwave oven</li><li>Toaster</li><li>Coffee pot</li><li>Pots, pans, serving dishes</li><li>Silverware and Dishware</li></ul></div>";Kitchen Amenities;8796425272962
Output Catalog:Online;VilaDetails_039_001;8796427566722;"<div><span class='visible-md visible-lg'>Making your home away from home comfortable</span><ul class='contentToggle open'><li> Alarm clock</li><li> Coffee maker</li><li>Iron/Ironing Board</li><li> Pillows: Down/Feather</li><li> Pull out sofa bed</li></ul></div>";General Amenities;8796427533954
Output Catalog:Online;VilaDetails_039_0021;;"<div><span class='visible-md visible-lg'>Making your home away from home comfortable</span><ul class='contentToggle open'><li> Alarm clock</li><li> Coffee maker</li><li>Iron/Ironing Board</li><li> Pillows: Down/Feather</li><li> Pull out sofa bed</li></ul></div>";General Amenities;8796427599490
Output Catalog:Online;VilaDetails_039_0031;;"<div><span class='visible-md visible-lg'>Making your home away from home comfortable</span><ul class='contentToggle open'><li> Alarm clock</li><li> Coffee maker</li><li>Iron/Ironing Board</li><li> Pillows: Down/Feather</li><li> Pull out sofa bed</li></ul></div>";General Amenities;8796427665026
Output Catalog:Online;VilaDetails_039_002;8796427632258;"<div><ul class='contentToggle closed'><li>Portable pack and play</li><li>Foam pillows</li><li>Additional serviceware</li></ul></div>";Upon Request;8796427533954
