# catalogVersion;syncItemKey;pk;villaOptionTitle;villaOptionTabOrder;villaTypeHeading;villaTypeDescription;villaAmenitiesHeading;villaAdditionalServices;villaAmenitiesDescription;villaGeneralAmenities;villaKitchenAmenities;villaOptionAccomodationHeading;villaOptionAccomodationOverview;villaOptionDiningHeading;villaOptionDiningOverview;villaOptionDisclaimer;villaOptionSummary;vilaAmenities
Output Catalog:Online;VillaOptions_00056_Options_2;8796436381314;;;3-Bedroom Villa;3 bedrooms 3 baths;;"<ul class=""""contentToggle closed""""><li>Portable pack and play</li><li>Foam pillows</li><li>Additional serviceware</li></ul>";;"<span class=""""visible-md visible-lg"""">Making your home away from home comfortable</span></p><ul class=""""contentToggle open""""><li>Alarm clock</li><li>Coffee maker</li><li>Iron/ Iron board</li><li>Pillows: Down/Feather</li><li>Pull out sofa bed</li></ul>";"<span class=""""visible-md visible-lg"""">Making in-room cooking and dining convenient</span></p><ul class=""contentToggle closed""><li>Conventional oven</li><li>Stove</li><li>Refrigerator with icemaker</li><li>Dishwasher</li><li>Microwave oven</li><li>Toaster</li><li>Coffee Pot</li><li>Pots, pans, serving dishes</li><li>Silverware and Dishware</li></ul>";;;;;;;8796436217474
Output Catalog:Online;VillaOptions_00025_Options_1;8796442148482;;;1-Bedroom Villa;1 bedroom 1 bath;;"<ul class=""""contentToggle closed""""><li>Portable pack and play</li><li>Foam pillows</li><li>Additional serviceware</li></ul>";;"<span class=""""visible-md visible-lg"""">Making your home away from home comfortable</span></p><ul class=""""contentToggle open""""><li>Alarm clock</li><li>Coffee maker</li><li>Iron/ Iron board</li><li>Pillows: Down/Feather</li><li>Pull out sofa bed</li></ul>";"<span class=""""visible-md visible-lg"""">Making in-room cooking and dining convenient</span></p><ul class=""""contentToggle closed""""><li>Conventional oven</li><li>Stove</li><li>Refrigerator with icemaker</li><li>Dishwasher</li><li>Microwave oven</li><li>Toaster</li><li>Coffee Pot</li><li>Pots, pans, serving dishes</li><li>Silverware and Dishware</li></ul>";;;;;;One-Bedroom Apartment 1-bedroom/1-bath apartment Approximately 84 square meters Sleeps 4. Two-Bedroom Apartment 2-bedroom/2-bath apartment Approximately 109 square meters Sleeps 6. Three-Bedroom Apartment 3-bedroom/3-bath Approximately 142 square meters Sleeps 8;8796442115714
Output Catalog:Online;VillaOptions_00039_Options_1;8796427533954;;;2-Bedroom Exterior Villa;2 bedrooms 2 baths;;;;;;;;;;;;8796427501186
Output Catalog:Online;VillaOptions_00018_Options_1;8796497886850;;;2-Bedroom Villa;2 bedrooms 2 baths;;"<ul class=""""contentToggle closed""""><li>Portable pack and play</li><li>Foam pillows</li><li>Additional serviceware</li></ul>";;"<span class=""""visible-md visible-lg"""">Making your home away from home comfortable</span></p><ul class=""""contentToggle open""""><li>Alarm clock</li><li>Coffee maker</li><li>Iron/ Iron board</li><li>Pillows: Down/Feather</li><li>Pull out sofa bed</li></ul>";"<span class=""""visible-md visible-lg"""">Making in-room cooking and dining convenient</span></p><ul class=""""contentToggle closed""""><li>Conventional oven</li><li>Stove</li><li>Refrigerator with icemaker</li><li>Dishwasher</li><li>Microwave oven</li><li>Toaster</li><li>Coffee Pot</li><li>Pots, pans, serving dishes</li><li>Silverware and Dishware</li></ul>";;;;;;Two-Bedroom/Two-Bath Villa, Approximately 909-1,220 square feet, Sleeps 6;8796497854082
Output Catalog:Online;VillaOptions_00022_Options_6;8796508864130;;;Typical 3-Bedroom Multilevel Townhome;3 bedrooms 3 baths;;;;;;;;;;;;8796508831362
Output Catalog:Online;VillaOptions_00011_Options_1;8796477374082;;;2-Bedroom Villa;2 bedrooms 2 baths;;"<ul class=""""contentToggle closed""""><li>Portable pack and play</li><li>Foam pillows</li><li>Additional serviceware</li></ul>";;"<span class=""""visible-md visible-lg"""">Making your home away from home comfortable</span></p><ul class=""""contentToggle open""""><li>Alarm clock</li><li>Coffee maker</li><li>Iron/ Iron board</li><li>Pillows: Down/Feather</li><li>Pull out sofa bed</li></ul>";"<span class=""""visible-md visible-lg"""">Making in-room cooking and dining convenient</span></p><ul class=""contentToggle closed""><li>Conventional oven</li><li>Stove</li><li>Refrigerator with icemaker</li><li>Dishwasher</li><li>Microwave oven</li><li>Toaster</li><li>Coffee Pot</li><li>Pots, pans, serving dishes</li><li>Silverware and Dishware</li></ul>";;;;;;Typical Two-Bedroom Villa Photo Gallery- 2-bedroom/2-bath villa- Approximately 1,400 square feet- Sleeps 8;8796477341314
Output Catalog:Online;VillaOptions_00044_Options_2;8796539141762;;;Three-Bedroom Residence;;;;;;;;;;;;;8796539043458
Output Catalog:Online;VillaOptions_00024_Options_1;8796528262786;;;2-Bedroom Villa;2 bedrooms 2 baths;;"<ul class=""""contentToggle closed""""><li>Portable pack and play</li><li>Foam pillows</li><li>Additional serviceware</li></ul>";;"<span class=""""visible-md visible-lg"""">Making your home away from home comfortable</span></p><ul class=""""contentToggle open""""><li>Alarm clock</li><li>Coffee maker</li><li>Iron/ Iron board</li><li>Pillows: Down/Feather</li><li>Pull out sofa bed</li></ul>";"Making in-room cooking and dining convenient</span></p><ul class=""""contentToggle closed""""><li>Conventional oven</li><li>Stove</li><li>Refrigerator with icemaker</li><li>Dishwasher</li><li>Microwave oven</li><li>Toaster</li><li>Coffee Pot</li><li>Pots, pans, serving dishes</li><li>Silverware and Dishware</li></ul>";;;;;;Two-bedroom Villa - 2-bedroom/2-bath villa -  Approximately 1,365 square feet - Sleeps 6;8796528230018
Output Catalog:Online;VillaOptions_00007_Options_2;8796472360578;;;3-Bedroom TownHouse;3 bedrooms 2 baths;;"<ul class=""""contentToggle closed""""><li>Portable pack and play</li><li>Foam pillows</li><li>Additional serviceware</li></ul>";;"<span class=""""visible-md visible-lg"""">Making your home away from home comfortable</span></p><ul class=""""contentToggle open""""><li>Alarm clock</li><li>Coffee maker</li><li>Iron/ Iron board</li><li>Pillows: Down/Feather</li><li>Pull out sofa bed</li></ul>";"<span class=""""visible-md visible-lg"""">Making in-room cooking and dining convenient</span></p><ul class=""contentToggle closed""><li>Conventional oven</li><li>Stove</li><li>Refrigerator with icemaker</li><li>Dishwasher</li><li>Microwave oven</li><li>Toaster</li><li>Coffee Pot</li><li>Pots, pans, serving dishes</li><li>Silverware and Dishware</li></ul>";;;;;;Two-bedroom Townhouse-  2-bedroom/2-bath townhouse-  Approximately 88 square meters-  Sleeps 6 .Three-bedroom Townhouse-  3-bedroom/2-bath townhouse-  Approximately 110 square meters-  Sleeps 8;8796472196738
Output Catalog:Online;SD-VillaAmenities-KingSuite-001;8796727066242;;;King Suite;;;;;;;;;;;;;8796727033474
